 Consumer  Funerals  Insurance , European Union (EU) ,https://www.dela.nl/ ,"Dela offers insurance services. It offers funeral insurance and funeral care services. Additionally, the company provides life and health insurance services.  <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Animal Feed  Biotechnology  Natural Resources , European Union (EU) ,https://www.delacon.com/ https://www.facebook.com/delacon/ https://www.linkedin.com/company/2858378/ https://twitter.com/DelaconPhyto https://twitter.com/DelaconPhyto ,"Delacon Biotechnik produces plant-based phytogenic feed additives.  <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care  Public Safety  Wellness , Southern US ,http://delafieldsolutions.com/ https://www.twitter.com/delafieldh2o2 https://www.twitter.com/delafieldh2o2 ,"Delafield’s Hydrogen Peroxide Systems provide continuous microbial control in occupied spaces. This unique technology produces dilute Hydrogen Peroxide in pure gas form which attacks the viruses, bacteria, and molds that commonly cause illnesses ranging from the flu to deadly hospital-acquired infections. The concentration is well below OSHA limits allowing the area to remain in use while our technology offers protection from germs on a sustained basis. This capability is revolutionary, providing the ability to continuously reduce microbial loads and also prevent mold infestations. Like air, our patented systems permeate the entire enclosed space and reaches every surface – even those surfaces rarely cleaned by conventional methods. This means soft surfaces like curtains or seat pockets and hard surfaces like work-out equipment will be treated as well as the more typical surfaces like desks and tables. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Life Science  Neuroscience  Product Research , Great Lakes  Midwestern US ,http://www.delawareneuroscience.org/ ,"Delaware Center for Neuroscience Research creates infrastructure to support research and career development of neuroscientists in Delaware. It is an interdisciplinary, inter-institutional, virtual Center linking Delaware State University and the University of Delaware. The center brings together neuroscientists with research interests in neural development and plasticity, learning and memory, and animal models of brain disorders. It is funded by a Center grant from the Centers for Biomedical Research Excellence (COBRE) program of NIH. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Biotechnology  Health Care  Pharmaceutical , Greater New York Area  East Coast  Northeastern US ,https://www.google.com/finance?q=FRA:DV3P http://www.delcath.com https://www.linkedin.com/company/delcath-systems-inc https://twitter.com/delcathsystems https://www.google.com/finance?q=FRA:DV3P https://www.google.com/finance?q=FRA:DV3P https://twitter.com/delcathsystems ,"Delcath Systems and its proprietary targeted drug delivery system are at the forefront of the regional treatment of cancer. The Company's technology, known as Percutaneous Hepatic Perfusion (PHP), allows physicians to deliver significantly higher doses of anti-cancer drugs to the site of disease without exposing the patient's entire body to those same potent levels of drug. Initial clinical results from studies treating cancer in the liver confirm that delivering more drug to the tumor site, and less to the other regions of the body, enhances tumor shrinkage with improved quality of life over systemic cancer therapies. PHP is currently undergoing testing in Phase III and Phase II clinical trials for a variety of cancers of the liver. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care , Greater Philadelphia Area  Great Lakes  Northeastern US ,http://delcobjj.com ,"Delco Martial Arts Academy provides cutting edge self defense and fitness training facility from basic to advanced level. Delco also offers classes for students of all ages. Basic program includes kick boxing which and for students of each age group Delco have hand picked specific kickboxing and brazillian jiu-jitsu grappling techniques to keep safety as a high priority while at the same time maintaining the highest quality of martial arts available today. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care  Health Diagnostics  Personal Health ,,https://www.delee.live/ ,"Delee is a blood test device able to isolate tumor cells. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Biotechnology  Medical Device  Therapeutics ,,http://www.delenex.com https://www.linkedin.com/company/569340/ ,"Delenex Therapeutics AG is a Swiss biotech company developing therapeutic antibody fragments targeting serious medical diseases with high unmet need. The company's fragments are being designed for local/topical application by using the benefits of an antibody therapy with only limited systemic exposure. Its clinically validated technology delivers antibodies exhibiting the highest affinity, solubility and stability all combined with a very low risk of immunogenicity. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Hardware  Industrial  Medical  Software , European Union (EU) ,,"Delft Instruments N.V. engages in the development, manufacture, sell, and servicing of precision hardware and software for medical and industrial customers. The company operates in two segments, Medical and Industrial. The Medical segment develops radiotherapy, X-ray diagnostics, picture archiving and communication systems, and ultrasound diagnostics for the treatment of cancer. The Industrial segment manufactures and distributes products and systems for specific sections of the oil and gas storage, and transport supply chain, including level gauges, flow meters, environmental protection equipment, and stock level data systems. The company is based in Delft, the Netherlands <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Dental  Health Care , Greater San Diego Area  West Coast  Western US ,http://www.delicateencinitasdentist.com http://www.facebook.com/Delicate-Dental-Arts/1755803157998 http://twitter.com/delic8dentalart http://twitter.com/delic8dentalart ,"Are you ready for a new, enjoyable experience at the dentist’s office? The Delicate Dental Arts team will give you a sensational, healthy smile – and a reason to show it off. Dr. Nancy Nguyen is committed to delivering personalized service and gentle, quality dental care to patients of all ages. We specialize in family and cosmetic dentistry using gentle and advanced technology and techniques for long lasting, healthy, beautiful smiles. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Food and Beverage  Health Care  Packaging Services , Asia-Pacific (APAC)  Australasia ,https://www.deliciouslycleaneats.com.au https://www.facebook.com/deliciouslycleaneats https://www.linkedin.com/company/deliciously-clean-eats ,"Deliciously Clean Eats provides fresh, healthy, dietitian approved pre packaged meals designed to create convenience for people of the Sunshine Coast. Deliciously Clean Eats is now one of the most iconic pre-packaged meal providers in South East Queensland, catering to busy executives, everyday families, students, elderly plus major sporting and corporate events throughout the region. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care , European Union (EU) ,http://www.delightcare.co.uk/ ,"Delight Care Ltd. provides home care services. Delight Care offers companionship and support services in the areas of housekeeping, shopping, errands, transport, and meal preparation. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Biotechnology  Medical  Therapeutics , San Francisco Bay Area  West Coast  Western US ,https://deliniabio.com/ https://www.facebook.com/celgene https://www.linkedin.com/company/10846555 https://twitter.com/deliniabio https://twitter.com/deliniabio ,"Delinia was founded to discover and develop novel therapeutics for the treatment of autoimmune and inflammatory diseases. Delinia’s lead program is a molecule that selectively potentiates and expands regulatory T cells (Tregs), the powerful immune cells that are critical to maintaining self-tolerance and immune system homeostasis. Delinia’s scientific founders and experienced executive leaders are working to advance the company’s initial programs to the clinic. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Biotechnology  Pharmaceutical  Robotics , Greater Chicago Area  Great Lakes  Midwestern US ,http://delivercarerx.com http://twitter.com/delivercarerx http://twitter.com/delivercarerx ,"Our Mission is to facilitate positive patient outcomes by providing efficient home delivery of prescriptions and ongoing prescription refill management services to chronically ill, low income, case managed and managed care organization patients. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Medical Device , European Union (EU) ,http://www.deliverics.com/ ,"Deliverics develops and commercializes transfection reagent kits. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Fitness  Food Processing  Health Care , Greater Miami Area  East Coast  Southern US ,http://www.deliverlean.com https://www.facebook.com/DeliverLean https://www.linkedin.com/company/deliverlean https://twitter.com/DeliverLean https://twitter.com/DeliverLean ,"DeliverLean is a gourmet meal service that delivers fresh and portioned meals to its customers’ doorsteps. It offers 5 different meal plans that include traditional, organic, paleo, gluten-free, and HCG. Its meals consist mainly of lean protein, healthy fats, and complex carbohydrates. DeliverLean also offers a series of healthy-cooking classes to help teach and inspire the South Florida community to create easy and simple healthy recipes. DeliverLean was founded on September 2, 2011, and is based in Oakland Park, Florida. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Delivery Service  Pharmaceutical  Software , East Coast  Southern US ,https://www.deliverstat.com https://www.facebook.com/DeliverSTAT2018/?modal=admin_todo_tour https://twitter.com/DeliverSTAT https://twitter.com/DeliverSTAT ,"<a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Autonomous Vehicles  Drones  Flowers  Food Delivery  Landscaping  Pharmaceutical ,,,"<a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Biotechnology , Great Lakes ,https://www.google.com/finance?q=CVE:DVA http://www.delivracorp.com/ https://www.linkedin.com/company/delivra-inc-/ https://www.google.com/finance?q=CVE:DVA https://www.google.com/finance?q=CVE:DVA ,"Delivra Headquartered in Hamilton, Ontario, Canada, Delivra Corp. (“Delivra™“) is a specialty biotechnology company that has a proprietary transdermal delivery system platform that can shuttle pharmaceutical and natural molecules, through the skin, in a targeted specific manner.Delivra manufactures and sells a growing line of natural topical creams with the proprietary transdermal delivery system platform under the LivRelief™ brand, for conditions such as joint and muscle pain, nerve pain, varicose veins, wound healing, and under the LivSport™ brand for sports performance.  <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Cosmetic Surgery  Laser , Southern US ,http://www.dellvision.com/ https://www.facebook.com/delllaserconsultants/?ref=ts https://twitter.com/dellvision https://twitter.com/dellvision ,"Welcome to our LASIK, Cataract Surgery, and Eye Care practice in Austin. Dell Laser Consultants provides a range of vision care options including Eye Lasik Austin. Search us online using these phrase: Lasik Austin Dell Vision,
Lasik Austin Top Rated Dell Vision
 <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Consulting  Fitness  Health Care  Personal Health , Greater New York Area  East Coast  Northeastern US ,http://www.dellonutritionals.com https://www.facebook.com/dellonutritionals-182375288479963 http://twitter.com/dellonutrition http://twitter.com/dellonutrition ,"<a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Architecture  Developer Tools  Enterprise Software  Health Care  Information Technology  Mobile  Software , European Union (EU) ,http://www.delonia.com https://www.facebook.com/300213313426124 https://www.linkedin.com/company/delonia-software https://www.twitter.com/deloniasoftware https://www.twitter.com/deloniasoftware ,"Delonia Software is a software consultancy and engineering company. It provides specialized services, technology consulting, and software development solutions, with a range of turnkey solutions for industrial and management; and mobility and systems integration. The company offers these services for banking, insurance, telecom, and eHealth industries.  The company’s industrial management software automates and analyze mechanical signals, communication protocols, remote management of machinery and electronics, design; and construction of physical systems. Its product CatenaryBuilder is a management system that supports the calculation of structures of overhead lines for railways, both lines, short distance, and long distance facilities. Delonia Software Jose Maria Corsino in 2010; and is headquartered in Madrid, Spain. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care , European Union (EU) ,http://www.delosclinical.com http://www.facebook.com/delosclinical http://www.linkedin.com/company/delos-clinical http://twitter.com/delosclinical http://twitter.com/delosclinical ,"Delos Clinical is a clinical research organization providing high-quality services for research, development, and biomedical innovation. The services offered by the organization vary from design and processing studies to data collection, statistical analysis of data and drafting, and translation and publication of scientific articles. Delos Clinical also has an extensive portfolio of continual educational courses and a shuttle transfer research results to facilitate the implementation of new advances in everyday medical practice. Its clients include university researchers, professional societies, and many other organizations. The organization was formed in 2011 and is based in Seville. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care  Medical Device  Rehabilitation , European Union (EU) ,http://www.delos-international.com/ https://www.twitter.com/delos_pro https://www.twitter.com/delos_pro ,"Delos is an Italian Med-Tech company that has developed the most effective system and methodology to reactivate the control of equilibrium, prevent injuries and falls, speed up the recovery after injuries.  At Delos we help sport teams to prevent injuries of their athletes and improve their performance as well as clinics, hospitals and rehab centers to improve the condition of their patients.  In a 6 years scientific study on a basketball we have demonstrated 81% reduction of Ankle Sprains, 65% of Knee Sprains and 78% of Low Back Pain. As of today, 10 NBA teams are actively using our device and we started also to work with Top Universities and MLB. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Biopharma  Pharmaceutical , Southern US ,,"Delos Pharmaceuticals, Inc. discovers and develops novel polyketide-based therapies to treat chronic disease. The company focuses on novel biological mechanisms that can be used to treat aging-related disease by addressing the basis for disease initiation and progression, such as oxidative, cellular, and environmental stress. Delos Pharmaceuticals, Inc. was incorporated in 2012 and is based in Novato, California. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care  Information Technology  Real Estate , Greater New York Area  East Coast  Northeastern US ,http://www.Delos.com https://www.facebook.com/delosliving https://www.linkedin.com/company/delos-living-llc https://twitter.com/delosliving https://twitter.com/delosliving ,"As the pioneer of Wellness Real Estate™ and founder of the WELL Building Standard®, Delos is transforming our homes, offices, schools and other indoor environments by placing health and wellness at the center of design and construction decisions. The Delos platform includes research, consulting, real estate development and innovative solutions for the built environment – creating spaces that nurture and promote human health and well-being. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Manufacturing  Medical  Pharmaceutical , European Union (EU) ,http://www.delpharm.com/ https://www.linkedin.com/company/delpharm/?originalSubdomain=in ,"Delpharm is provides contract drug manufacturing services for pharmaceutical companies. The company develops, manufactures, and packages under license products, generics, OTC products, dietary supplements, veterinary products, medical devices, and active and injectable products.  <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care  Hospital  Medical , Greater Miami Area  East Coast  Southern US ,https://delphihealthgroup.com https://www.facebook.com/DelphiHealthGroup https://www.linkedin.com/company/delphi-behavioral-health-group https://twitter.com/delphihealth https://twitter.com/delphihealth ,"Delphi Behavioral Health Group was created with the goal of treating addiction at its essential core through comfortably appointed facilities. We offer those suffering from substance abuse the tools to turn their lives around. We understand how difficult it can be to battle addiction alone and how hard it can be to choose the treatment center for you. Our staff is ready to help you through this time. We operate a variety of detox and treatment programs to assist you with your individual needs. Our staff is trained to address the challenges that arise during addiction treatment. Each treatment center is equipped with licensed professionals who follow our philosophy on addiction care. All of our facilities have a high clinician to low client ratio, along with comprehensive treatment solutions including cognitive and behavioral therapies, aftercare services, and relapse prevention. Delphi offers the clinical treatment necessary to combat subsequent relapse and improve clinical outcomes while also providing a comfortable and relaxing environment. <a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Health Care  Health Diagnostics  Medical , Southern US ,,"<a aria-disabled=""false"" aria-label=""Discover more apps in the Crunchbase Marketplace"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" href=""https://www.crunchbase.com/marketplace/"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Marketplace Data </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Biotechnology , Greater Denver Area  Western US ,,"Delphi Medical Systems, located near Denver, Colorado, primarily manufacturers OEM medical devices for the Therapeutic Device market, including blood separation equipment, spinal surgery products and 3-D eye mapping devices. Additionally, the company provides engineering and manufacturing support to a market leading environmental sensor company whose markets include meteorology, weather critical operations and controlled environment applications. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Computer Vision  Eyewear  Medical , European Union (EU) ,http://www.delphi-optics.com ,"Delphi Optics GmbH is a Germany-based company that develops and distributes automatic, optical classification systems for medical applications. It was founded in 2009 and is headquartered in Lübeck, Schleswig-Holstein. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
 Life Science  Pharmaceutical  Project Management , European Union (EU) ,http://www.delphicdiagnostics.com ,"Delphic Diagnostics is a laboratory company that provides pharmacology, pharmacogenetic, and virology services to pharmaceutical companies, clinical research organizations, and the healthcare sector. It offers bio-equivalence studies, pharmacokinetic studies, validated methods, drug/drug interaction studies, dose escalating studies, clinical interpretation/bioinformatics, DMET panel, genotyping, nucleic acid extraction, validated methods, customized pharmacogenetics and resequencing, viral resistance, qualitative and quantitative viral load, flow cytometry, tropism, project management, and data and logistics services. The company also offers data management, sample logistics, therapeutic drug monitoring, viral resistance testing, immunology, pharmacology, blood brone virus screening, dried blood spots, oral fluids, BBV assays, and clinical trials services. Delphic Diagnostics Limited was incorporated in 2001 and is based in London, United Kingdom with laboratories in Liverpool and Kent, United Kingdom. <a aria-disabled=""false"" aria-label=""Unlock Charts on profile when you subscribe to Crunchbase Pro!"" class=""cb-text-transform-upper mat-button mat-raised-button mat-accent _mat-animation-noopable"" color=""accent"" mat-button="""" mat-raised-button="""" rel=""noopener"" tabindex=""0"" target=""_blank""><span class=""mat-button-wrapper""> Unlock Charts </span><div class=""mat-button-ripple mat-ripple"" matripple=""""></div><div class=""mat-button-focus-overlay""></div></a> "
